sogenannt;sog.
ständige Rechtsprechung;st.Rspr.
Staatsanwaltschaft;StA
Strafgesetzbuch;StGB
Staatsgerichtshof;StGH
stillschweigend;stillschw.
Strafprozessordnung;StPO
strittig;str.
Streitverfahren;Str.Verf.
Streitwert;StrWert.
Straßenverkehrsgesetz;StVG
Straßenverkehrsordnung;StVO
subjektiv;subj.
teilweise;teilw.
Teilzeit- und Befristungsgesetz;TzBfG
unter anderem;u.a.
und ähnliche;u.ä.
umstritten;umstr.
unbekannt;unbek.
unbestimmt;unbest.
unpfändbar;unpfb.
unzulässig;unzul.
unzuständig;unzustd.
Urheberrechtsgesetz;UrhG
Urteil;Urt.
Urteilsverkündung;UrtVerk.
Umsatzsteuergesetz;UStG
Gesetz gegen den unlauteren Wettbewerb;UWG
von Amts wegen;v.A.w.
Variante;Var.
Verfahren;Verf.
Verfassungsgerichtshof;VerfGH
Verhandlungen;Verh.
Verkündungen;Verk.
Versammlungsgesetz;VersG
Veröffentlichungen;Veröf.
Verfügung;Vfg.
Verwaltungsgericht;VG
Verwaltungsgerichtshof;VGH
vergleiche;vgl.
vorangehend;vorangeh.
Vorbemerkung;Vorbem.
vorgenannt;vorgen.
Versicherungsvertragsgesetz;VVG
Vertragsverletzungsverfahren;VVV
Verwaltungsgerichtsordnung;VwGO
Verwaltungsverfahrensgesetz;VwVfG
Verwaltungsvollstreckungsgesetz;VwVG
Waffengesetz;WaffG
Wohnungseigentumsgesetz;WEG
Wasserhaushaltsgesetz;WHG
zum Beispiel;z.B.
Zivilprozessordnung;ZPO
zusammenfassend;zusf.
zustimmend;zust.
zutreffend;zutr.
Zwangsvollstreckungsgesetz;ZVG
zweifelhaft;zw.
Zeitschrift für Zivilprozess;ZZP
Paragraph;§
Paragraphen;§§
Überblick;Üb.
überwiegend;überw.
Übereinkommen;Übk.
